year,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2014,services,transportation and storage,other transport and storage services,240,180,60
2014,services,accommodation and food services,accommodation,240,240,-
2014,services,accommodation and food services,food and beverage services,140,120,20
2014,services,information and communications,"telecommunications, broadcasting and publishing",350,350,10
2014,services,information and communications,it and other information services,450,250,210
2014,services,financial and insurance services,financial services,1280,1270,10
2014,services,financial and insurance services,insurance services,60,50,10
2014,services,real estate services,real estate services,90,90,-
2014,services,professional services,"legal, accounting and management services",1030,1020,20
2014,services,professional services,architectural and engineering services,350,270,90
2014,services,professional services,other professional services,140,130,10
2014,services,administrative and support services,security and investigation,110,80,40
2014,services,administrative and support services,cleaning and landscaping,10,10,-
2014,services,administrative and support services,other adminstrative and support services,210,110,100
2014,services,"community, social and personal services",public administration and education,40,20,20
2014,services,"community, social and personal services",health and social services,20,20,-
2014,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2014,services,"community, social and personal services","other community, social and personal services",50,50,-
2014,others,others,others,10,10,-
2015,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",80,80,10
2015,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",570,560,10
2015,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",320,310,10
2015,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1780,1510,270
2015,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1630,1630,10
2015,manufacturing,transport equipment,transport equipment,570,470,100
2015,manufacturing,other manufacturing industries,other manufacturing industries,260,240,20
2015,construction,construction,construction,1780,770,1010
2015,services,wholesale and retail trade,wholesale trade,2150,2080,80
2015,services,wholesale and retail trade,retail trade,30,30,-
2015,services,transportation and storage,land transport and supporting services,60,40,10
2015,services,transportation and storage,water transport and supporting services,280,200,80
2015,services,transportation and storage,air transport and supporting services,110,70,40
2015,services,transportation and storage,other transport and storage services,250,190,60
2015,services,accommodation and food services,accommodation,10,10,-
2015,services,accommodation and food services,food and beverage services,190,180,10
2015,services,information and communications,"telecommunications, broadcasting and publishing",280,280,-
2015,services,information and communications,it and other information services,450,370,90
2015,services,financial and insurance services,financial services,1710,1660,60
2015,services,financial and insurance services,insurance services,50,50,-
2015,services,real estate services,real estate services,50,50,-
2015,services,professional services,"legal, accounting and management services",1180,1170,10
2015,services,professional services,architectural and engineering services,940,820,120
2015,services,professional services,other professional services,170,160,10
2015,services,administrative and support services,security and investigation,70,70,-
2015,services,administrative and support services,cleaning and landscaping,50,30,20
2015,services,administrative and support services,other adminstrative and support services,260,150,110
2015,services,"community, social and personal services",public administration and education,40,40,-
2015,services,"community, social and personal services",health and social services,90,80,20
2015,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2015,services,"community, social and personal services","other community, social and personal services",80,80,10
2015,others,others,others,80,80,-
2016,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",330,290,40
2016,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",410,360,50
2016,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",360,360,-
2016,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",2400,2240,160
2016,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1670,1670,10
2016,manufacturing,transport equipment,transport equipment,720,450,270
2016,manufacturing,other manufacturing industries,other manufacturing industries,390,260,130
2016,construction,construction,construction,1920,870,1050
2016,services,wholesale and retail trade,wholesale trade,2200,2130,70
2016,services,wholesale and retail trade,retail trade,180,170,10
2016,services,transportation and storage,land transport and supporting services,10,-,-
2016,services,transportation and storage,water transport and supporting services,490,420,60
2016,services,transportation and storage,air transport and supporting services,160,110,50
2016,services,transportation and storage,other transport and storage services,220,190,30
2016,services,accommodation and food services,accommodation,70,70,-
2016,services,accommodation and food services,food and beverage services,280,250,30
2016,services,information and communications,"telecommunications, broadcasting and publishing",570,530,30
2016,services,information and communications,it and other information services,410,390,20
2016,services,financial and insurance services,financial services,2210,2200,20
2016,services,financial and insurance services,insurance services,90,90,-
2016,services,real estate services,real estate services,90,70,10
2016,services,professional services,"legal, accounting and management services",1410,1380,30
2016,services,professional services,architectural and engineering services,1050,970,80
